idx	htid	access	rights	ht_rec	enum_chron	source	source_rec	oclc_num	isbn	issn	lccn	title	imprint	rights_code	last_update	gov_doc	pub_date	pub_place	lang	bib_format	coll_code	provider_code	resp_ent_code	dig_agent_code	access_profile	author
14667792	aeu.ark:/13960/t1gj0d67z	allow	pd	100311737		AEU	6368391	867437500	0665890532			Home ownership versus rented houses moral results / by John Morrison.	W. Briggs, 1900.	bib	2021-01-01 05:29:01	0	1900.0	onc	eng	BK	AEU	ualberta	ualberta	ia	open	Morrison, John, 1857-1924.
14616268	aeu.ark:/13960/t1mg87x3z	allow	pd	100262474		AEU	4960268	670413841.0	0665270291			The uncalled a novel / by Paul Laurence Dunbar.	G.N. Morang, 1898.	bib	2019-01-01 07:38:24	0	1898.0	onc	eng	BK	AEU	ualberta	ualberta	ia	open	Dunbar, Paul Laurence, 1872-1906
14650082	aeu.ark:/13960/t1zd0k82g	allow	pdus	100294875		AEU	6289402	861671686	066576247X			The secret of the divine silence, and other sermons by B.D. Thomas.	W. Briggs, 1903.	bib	2014-09-18 03:44:26	0	1903.0	onc	eng	BK	AEU	ualberta	ualberta	ia	open	Thomas, B. D. 1843-1917.
15489893	chi.088043090	allow	pd	100862472		CHI	1614908	11859910				Among the pines: or, South in secession-time. By Edmund Kirke [pseud.] 30th thousand.	G.P. Putnam, 1862.	bib	2016-01-07 03:25:07	0	1862.0	nyu	eng	BK	CHI	uchicago	uchicago	google	google	Gilmore, James R. 1822-1903.
15490556	chi.20726703	allow	pd	100863154		CHI	1646280	3951054			13012927	A fool's errand; the famous romance of American history, by One of the fools. To which is added, by the same author, part II. The invisible empire: a concise review of the epoch on which the tale is based. With many thrilling personal narratives and startling facts of life at the South never before narrated for the general reader. All fully authenticated. By Albion W. Tourgée ...	Fords, Howard, & Hulbert; W.H. Thompson & Co.; etc., etc., 1880]	bib	2016-01-07 03:25:34	0	1880.0	nyu	eng	BK	CHI	uchicago	uchicago	google	google	Tourgée, Albion W., 1838-1905
11363777	coo.31924001074651	allow	pd	9056337		COO	405791	2924793				The welding of non-ferrous metals. With a foreword by Leslie Aitchison.	J. Wiley, 1951.	ren	2012-08-02 05:30:03	0	1951.0	nyu	eng	BK	COO	cornell	cornell	google	google	West, E. G. 1909-
4128573	coo.31924003132044	allow	pdus	1499655	v.2	COO	1167008	6427526			10029145	Monograph of the land & freshwater Mollusca of the British Isles. By John  W. Taylor. With the assistance of W. Denison Roebuck, F.L.S., the late Charles Ashford and other well-known conchologists.	Taylor Brothers, 1894-1914.	bib	2020-05-23 03:26:13	0	1914.0	enk	eng	BK	COO	cornell	cornell	cornell	open	Taylor, J. W.
13583740	coo.31924009061452	deny	ic	11405191		COO	665617	448066	0839501769		76078569	Clotel; or, The President's daughter: a narrative of slave life in the United States. With a sketch of the author's life.	Gregg Press [1969]	bib	2012-04-04 19:30:37	0	1969.0	nju	eng	BK	COO	cornell	cornell	google	google	Brown, William Wells, 1814?-1884.
13888708	coo.31924022152619	allow	pd	11742776	v.1	COO	2397999	12752827				Works.	The Nottingham Society [1922]	bib	2012-10-05 19:30:16	0	1922.0	nyu	eng	BK	COO	cornell	cornell	google	google	Hawthorne, Nathaniel, 1804-1864.
13888709	coo.31924022152627	allow	pd	11742776	v.2	COO	2397999	12752827				Works.	The Nottingham Society [1922]	bib	2012-10-09 19:30:06	0	1922.0	nyu	eng	BK	COO	cornell	cornell	google	google	Hawthorne, Nathaniel, 1804-1864.
13888710	coo.31924022152635	allow	pd	11742776	v.3	COO	2397999	12752827				Works.	The Nottingham Society [1922]	bib	2012-10-09 19:30:06	0	1922.0	nyu	eng	BK	COO	cornell	cornell	google	google	Hawthorne, Nathaniel, 1804-1864.
13888711	coo.31924022152643	allow	pd	11742776	v.4	COO	2397999	12752827				Works.	The Nottingham Society [1922]	bib	2012-10-05 19:30:16	0	1922.0	nyu	eng	BK	COO	cornell	cornell	google	google	Hawthorne, Nathaniel, 1804-1864.
13888712	coo.31924022152650	allow	pd	11742776	v.5	COO	2397999	12752827				Works.	The Nottingham Society [1922]	bib	2012-10-09 19:30:06	0	1922.0	nyu	eng	BK	COO	cornell	cornell	google	google	Hawthorne, Nathaniel, 1804-1864.
13888713	coo.31924022152668	allow	pd	11742776	v.6	COO	2397999	12752827				Works.	The Nottingham Society [1922]	bib	2012-10-09 19:30:06	0	1922.0	nyu	eng	BK	COO	cornell	cornell	google	google	Hawthorne, Nathaniel, 1804-1864.
13888714	coo.31924022152676	allow	pd	11742776	v.7	COO	2397999	12752827				Works.	The Nottingham Society [1922]	bib	2012-10-09 19:30:06	0	1922.0	nyu	eng	BK	COO	cornell	cornell	google	google	Hawthorne, Nathaniel, 1804-1864.
13888715	coo.31924022152684	allow	pd	11742776	v.8	COO	2397999	12752827				Works.	The Nottingham Society [1922]	bib	2012-10-09 19:30:06	0	1922.0	nyu	eng	BK	COO	cornell	cornell	google	google	Hawthorne, Nathaniel, 1804-1864.
13888716	coo.31924022152692	allow	pd	11742776	v.9	COO	2397999	12752827				Works.	The Nottingham Society [1922]	bib	2012-10-05 19:30:16	0	1922.0	nyu	eng	BK	COO	cornell	cornell	google	google	Hawthorne, Nathaniel, 1804-1864.
14177412	coo.31924022230647	allow	pd	12445631		COO	2404506	20370771			09001201	Day-dreams and nightmares / by Fred Grant Young.	Hermitage Pub. Co., 1894.	bib	2013-08-29 19:25:11	0	1894.0	mau	eng	BK	COO	cornell	cornell	google	google	Young, Fred Grant.
13888728	coo.31924022491033	allow	pd	11742785		COO	2426063	1544322			12015155	The autobiography of an ex-colored man.	Sherman, French & company, 1912.	bib	2012-10-09 19:30:06	0	1912.0	mau	eng	BK	COO	cornell	cornell	google	google	Johnson, James Weldon, 1871-1938.
14371874	coo1.ark:/13960/t0wq0j31j	allow	pd	100106382	v.9	COO	1700178	47857921				Works--	Jefferson Press, [c1879-1913]	bib	2015-07-20 12:25:52	0	1913.0	mau	eng	BK	COO	cornell	cornell	cornell-ms	open	Hawthorne, Nathaniel, 1804-1864.
8302724	coo1.ark:/13960/t20c5hm5q	allow	pd	6525956		COO	2406705	5907543			21019652	Madame Margot : a grotesque legend of old Charleston / by John Bennett.	The Century Co., 1921.	bib	2015-07-20 12:26:19	0	1921.0	nyu	eng	BK	COO	cornell	cornell	cornell-ms	open	Bennett, John, 1865-1956.
14371870	coo1.ark:/13960/t2j680z3d	allow	pd	100106382	v.3	COO	1700178	47857921				Works--	Jefferson Press, [c1879-1913]	bib	2015-07-20 12:25:52	0	1913.0	mau	eng	BK	COO	cornell	cornell	cornell-ms	open	Hawthorne, Nathaniel, 1804-1864.
14371872	coo1.ark:/13960/t2t448348	allow	pd	100106382	v.5	COO	1700178	47857921				Works--	Jefferson Press, [c1879-1913]	bib	2015-07-20 12:26:32	0	1913.0	mau	eng	BK	COO	cornell	cornell	cornell-ms	open	Hawthorne, Nathaniel, 1804-1864.
14371871	coo1.ark:/13960/t3rv1437t	allow	pd	100106382	v.4	COO	1700178	47857921				Works--	Jefferson Press, [c1879-1913]	bib	2015-07-20 12:26:32	0	1913.0	mau	eng	BK	COO	cornell	cornell	cornell-ms	open	Hawthorne, Nathaniel, 1804-1864.
14371869	coo1.ark:/13960/t4cn89t49	allow	pd	100106382	v.2	COO	1700178	47857921				Works--	Jefferson Press, [c1879-1913]	bib	2015-07-20 12:26:32	0	1913.0	mau	eng	BK	COO	cornell	cornell	cornell-ms	open	Hawthorne, Nathaniel, 1804-1864.
14371873	coo1.ark:/13960/t4rj5107x	allow	pd	100106382	v.6	COO	1700178	47857921				Works--	Jefferson Press, [c1879-1913]	bib	2015-07-21 03:25:32	0	1913.0	mau	eng	BK	COO	cornell	cornell	cornell-ms	open	Hawthorne, Nathaniel, 1804-1864.
661766	coo1.ark:/13960/t8w95rm45	allow	pd	208479		COO	5405528	3676370				Murillo, by Ellen E. Minor.	Scribner, 1882.	bib	2015-07-22 03:26:03	0	1882.0	nyu	eng	BK	COO	cornell	cornell	cornell-ms	open	Minor, Ellen E.
3495946	dul1.ark:/13960/t07x1h62h	allow	pdus	1113272		DUL	000004713	43593			79000855	Cane. Introd. by Arna Bontemps.	Harper & Row [1969, c1923]	cdpp	2020-12-05 05:25:02	0	1969.0	nyu	eng	BK	IDUKE	duke	duke	ia	open	Toomer, Jean, 1894-1967.
15455853	dul1.ark:/13960/t2797p72n	allow	pd	100837577		DUL	004261201	26042456				From superman to man, by J.A. Rogers.	Goodspeed Press [c1917]	bib	2015-11-10 03:25:40	0	1917.0	ilu	eng	BK	IDUKE	duke	duke	ia	open	Rogers, J. A. 1880-1966.
17425002	dul1.ark:/13960/t2z41mh1f	deny	ic	102802769		DUL	002113560	33208206.0	0822317451		95040002	The Avenue, Clayton City / C. Eric Lincoln.	Duke University Press, 1996.	bib	2021-02-13 03:25:28	0	1996.0	ncu	eng	BK	IDUKE	duke	duke	ia	open	Lincoln, C. Eric 1924-2000.
4569579	dul1.ark:/13960/t4wh8z13n	deny	ic	1821870		DUL	000791210	17507408	0807083054		87047879	Kindred / Octavia E. Butler ; with an introduction by Robert Crossley.	Beacon Press, c1988.	bib	2018-01-23 03:25:49	0	1988.0	mau	eng	BK	IDUKE	duke	duke	ia	open	Butler, Octavia E.
5401453	dul1.ark:/13960/t59d26g70	deny	ic	2370834		DUL	000903372	21001992	0060916508		89045674	Their eyes were watching God : a novel / Zora Neale Hurston ; with a new foreword by Mary Helen Washington.	Perennial Library : Harper & Row, 1990, c1937.	ren	2017-07-19 05:25:03	0	1990.0	nyu	eng	BK	IDUKE	duke	duke	ia	open	Hurston, Zora Neale.
13426731	dul1.ark:/13960/t6vx6fj7q	deny	ic	11162914		DUL	001402585	1427749			54007123	Youngblood.	Dial Press, 1954.	ren	2017-11-07 05:25:11	0	1954.0	nyu	eng	BK	IDUKE	duke	duke	ia	open	Killens, John Oliver, 1916-1987.
1006180	dul1.ark:/13960/t8vb3f54w	deny	ic	437405	c.2	DUL	000537516	606483			404862	Native son / by Richard Wright.	Harper & Brothers, 1940.	ren	2017-09-02 05:29:32	0	1940.0	nyu	eng	BK	IDUKE	duke	duke	ia	open	Wright, Richard, 1908-1960.
16030286	emu.010000336773	allow	pd	101643351		GEU	990014485670302486	728982				The love of Landry / by Paul Laurence Dunbar.	Dodd, Mead, 1900.	bib	2016-05-06 03:31:39	0	1900.0	nyu	eng	BK	GEU	emory	emory	geu	open	Dunbar, Paul Laurence, 1872-1906.
16037136	emu.010000426223	allow	pd	101647876		GEU	990011323570302486	9473763			18013112	The leopard's claw : a thrilling story of love and adventure from a European castle through the West African jungle, disclosing a deep insight into the quality and spiritual influence of African social institutions and conditions, and revealing a profound psyschic [sic] interpretation of African inner life, all clustered about the mysterious function and significance of the leopard's claw / by George W. Ellis.	International Authors' Association, [1917]	bib	2016-05-06 03:31:39	0	1917.0	nyu	eng	BK	GEU	emory	emory	geu	open	Ellis, George Washington, 1875-1919.
15475965	emu.010001070551	allow	pd	100853729		GEU	990008403080302486	30352336				The marrow of tradition / by Charles W. Chesnutt.	Houghton, Mifflin and Co., 1901.	bib	2016-04-06 03:26:48	0	1901.0	mau	eng	BK	GEU	emory	emory	geu	open	Chesnutt, Charles W. 1858-1932.
15475976	emu.010001128257	allow	pd	100853737		GEU	990005778350302486	24557286				Fifty years in the gospel ministry from 1864 to 1914 : twenty-seven years in the pastorate; sixteen years' active service as Chaplain in the U.S. Army; seven years professor in Wilberforce University; two trips to Europe; a trip to Mexico / by Theophilus Gould Steward ; introduction by Reverdy C. Ransom.		bib	2015-12-15 03:25:23	0	1921.0	pau	eng	BK	GEU	emory	emory	geu	open	Steward, T. G. 1843-1924.
16030285	emu.010001216028	allow	pd	101643351		GEU	990014485670302486	728982				The love of Landry / by Paul Laurence Dunbar.	Dodd, Mead, 1900.	bib	2016-05-04 03:25:22	0	1900.0	nyu	eng	BK	GEU	emory	emory	geu	open	Dunbar, Paul Laurence, 1872-1906.
15070515	emu.010001224829	allow	pd	100589478		GEU	990021927140302486	24357008			20-1370	The sword of Nemesis / by R. Archer Tracy.	The Neale Publishing Company, 1919.	bib	2015-04-17 03:25:19	0	1919	nyu	ENG	BK	GEU	emory	emory	geu	open	Tracy, R. Archer 1878-
15475964	emu.010001355363	allow	pd	100853729		GEU	990008403080302486	30352336				The marrow of tradition / by Charles W. Chesnutt.	Houghton, Mifflin and Co., 1901.	bib	2015-12-15 03:25:23	0	1901.0	mau	eng	BK	GEU	emory	emory	geu	open	Chesnutt, Charles W. 1858-1932.
14696737	emu.010001355555	allow	pd	100330022		GEU	990023471060302486	808842			04027992	Light ahead for the Negro / by E.A. Johnson ...	The Grafton Press, c1904.	bib	2015-04-09 03:25:55	0	1904.0	nyu	eng	BK	GEU	emory	emory	geu	open	Johnson, Edward A. 1860-1944.
8764396	emu.010002406445	allow	pd	6879897		GEU	990017106910302486	12652844				Poor Ben : a story of real life / by Lucretia H. Newman Coleman.	Publishing House of the A.M.E. Sunday-School Union, 1890.	bib	2015-06-30 03:26:10	0	1890.0	tnu	eng	BK	GEU	emory	emory	geu	open	Coleman, Lucretia H. Newman.
16051568	emu.010002408942	allow	pd	101660665		GEU	990016594920302486	6512048				Imperium in imperio / by Sutton E. Griggs.	The Editor Pub. Co., 1899.	bib	2016-05-18 03:25:20	0	1899.0	ohu	eng	BK	GEU	emory	emory	geu	open	Griggs, Sutton E. 1872-1933.
